,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
968,arezzo,pontedera,5,8,4,4,8,7,2,2,0,2,1,1,3,4,1,4,2,0,italy,0,0,2.16,0.83,2,0,A,D,0,0
1049,carrarese,olbia,4,9,8,7,13,10,4,1,3,3,1,3,22,10,15,10,7,0,italy,0,0,3.8,1.0,3,4,H,L,3,4
1053,reggina,virtus francavilla,13,15,5,5,7,6,2,1,2,2,0,3,4,5,7,6,-3,-1,italy,0,0,2.0,0.75,0,1,H,D,0,0
1062,venezia,hellas verona,16,3,7,8,5,14,1,2,4,4,2,2,6,10,9,8,-3,2,italy,0,0,1.5,1.16,1,1,H,D,1,1
1091,robur siena,cuneo,16,13,3,5,3,5,0,3,0,1,2,2,1,3,1,7,0,-4,italy,0,0,1.5,1.0,1,1,H,W,1,0
1092,pisa,pro piacenza,6,3,5,4,8,10,2,2,1,3,1,0,3,10,3,4,0,6,italy,0,0,2.5,0.5,3,1,H,W,3,2
1093,olbia,alessandria,10,11,5,5,6,6,2,0,3,1,3,1,6,4,7,5,-1,-1,italy,0,4,4.0,2.0,0,0,H,L,1,3
1096,catanzaro,juve stabia,4,2,5,4,9,12,3,0,2,4,0,0,8,12,3,2,5,10,italy,0,-4,2.16,1.16,0,3,A,D,1,1
1136,ac milan,juventus,4,1,11,11,21,31,6,3,2,10,1,0,21,24,14,8,7,16,italy,4,5,4.16,1.5,0,2,A,L,0,4
1139,genoa,napoli,13,3,11,11,14,25,4,2,5,8,1,2,16,24,24,12,-8,12,italy,0,4,2.0,0.66,1,2,A,L,0,1
1152,napoli,empoli,2,18,11,11,25,6,8,1,2,1,3,7,24,10,12,20,12,-10,italy,4,4,4.83,2.33,5,1,H,W,5,1
1159,juventus,cagliari,1,13,10,10,28,13,9,1,0,3,4,3,21,9,7,11,14,-2,italy,0,5,2.66,1.5,3,1,A,W,1,0
1163,inter,genoa,3,11,10,10,22,14,7,1,2,4,2,4,16,16,6,19,10,-3,italy,0,0,1.33,0.33,5,0,A,L,0,2
1166,juventus,spal,1,14,13,13,35,14,11,2,0,4,2,7,26,11,8,19,18,-8,italy,0,0,2.5,1.5,2,0,A,D,0,0
1170,as roma,sampdoria,6,12,12,12,19,15,5,4,3,4,3,5,19,15,14,12,5,3,italy,0,0,3.33,1.33,4,1,H,L,0,1
1171,atalanta,inter,11,3,11,11,15,25,4,3,4,8,1,2,19,21,13,6,6,15,italy,0,0,2.66,1.5,4,1,H,D,0,0
1172,lazio,spal,5,15,10,10,18,12,6,0,4,4,0,6,13,8,12,13,1,-5,italy,3,0,3.5,3.0,4,1,A,W,5,2
1179,udinese,as roma,18,6,12,12,9,19,2,3,7,5,4,3,11,22,18,15,-7,7,italy,0,6,3.0,1.16,1,0,H,L,0,2
1188,inter,frosinone,3,19,12,12,25,7,8,1,3,1,4,7,22,10,10,25,12,-15,italy,0,0,2.5,0.5,3,0,A,W,1,0
1193,frosinone,fiorentina,19,8,11,11,6,16,1,3,7,4,4,3,9,17,24,9,-15,8,italy,0,0,2.5,2.0,1,1,H,D,0,0
1198,udinese,ac milan,17,4,10,10,9,18,2,3,5,5,3,2,10,20,15,14,-5,6,italy,0,0,2.66,1.66,0,1,H,D,1,1
1200,lazio,ac milan,4,5,12,12,22,21,7,1,4,6,3,3,18,21,14,16,4,5,italy,0,0,3.5,1.16,1,1,H,L,4,5
1201,napoli,chievo,2,20,12,12,28,0,9,1,2,0,3,9,26,10,13,30,13,-20,italy,0,5,2.33,1.16,0,0,H,W,2,1
1209,empoli,atalanta,18,8,12,12,9,18,2,3,7,5,3,4,12,23,21,14,-9,9,italy,0,0,1.5,0.66,3,2,H,L,0,1
1214,fiorentina,as roma,6,8,10,10,15,15,4,3,3,4,3,3,16,17,8,13,8,4,italy,0,4,3.5,2.16,1,1,A,W,2,0
1226,spal,cagliari,15,14,11,11,12,13,4,0,7,3,4,4,9,10,17,14,-8,-4,italy,0,0,3.33,1.66,2,2,A,L,0,2
1248,chievo,bologna,20,16,11,11,-1,9,0,2,9,2,3,6,8,9,28,16,-20,-7,italy,0,0,2.66,0.66,2,2,A,W,2,1
1257,chievo,sassuolo,20,9,11,11,0,16,0,3,8,4,4,3,8,17,26,16,-18,1,italy,0,-4,2.16,1.5,0,2,H,D,1,1
1260,bologna,fiorentina,17,10,12,12,10,17,2,4,6,4,5,3,11,18,18,10,-7,8,italy,0,5,2.0,0.5,0,0,H,L,1,2
1261,parma,sassuolo,6,8,13,13,20,19,6,2,5,5,4,4,14,21,16,19,-2,2,italy,3,0,3.33,1.83,2,1,A,L,1,4
1268,parma,frosinone,12,19,10,10,13,5,4,1,5,1,2,7,10,9,14,24,-4,-15,italy,0,0,3.0,2.0,0,0,H,W,2,0
1272,cagliari,torino,14,11,12,12,14,17,3,5,4,4,5,3,12,17,16,15,-4,2,italy,4,5,3.83,2.33,0,0,H,L,0,4
1275,genoa,sampdoria,14,12,12,12,14,15,4,2,6,4,3,5,17,16,26,15,-9,1,italy,0,4,2.33,1.16,1,1,A,D,0,0
1280,empoli,udinese,19,17,11,11,6,9,1,3,7,2,3,6,10,10,20,16,-10,-6,italy,0,0,2.16,0.83,2,1,H,W,1,0
1284,bologna,atalanta,17,14,10,10,9,12,2,3,5,3,3,4,8,17,14,12,-6,5,italy,0,5,2.33,1.0,1,2,H,L,0,1
1292,hellas verona,palermo,7,1,12,11,18,24,5,3,4,7,3,1,15,21,15,9,0,12,italy,0,0,2.66,1.5,1,1,A,L,2,3
1296,sampdoria,torino,10,6,11,11,15,17,4,3,4,4,5,2,14,13,8,12,6,1,italy,0,-4,2.66,1.5,1,4,H,D,1,1
1321,hellas verona,cremonese,3,10,11,10,18,12,5,3,3,2,6,2,13,10,11,8,2,2,italy,0,0,3.16,1.16,1,1,H,D,1,1
1360,lecce,cremonese,6,12,12,11,19,15,5,4,3,3,6,2,22,11,18,8,4,3,italy,0,0,3.5,2.0,2,0,A,D,1,1
1425,perugia,crotone,10,14,10,11,14,12,4,2,4,3,3,5,14,13,15,15,-1,-2,italy,0,0,1.83,0.33,2,1,A,W,2,1
1429,pescara,lecce,2,5,10,10,19,16,5,4,1,4,4,2,15,17,10,12,5,5,italy,3,0,4.0,3.0,4,2,A,L,1,4
1482,benevento,ascoli,6,11,8,9,16,12,5,1,2,3,3,3,16,7,11,8,5,-1,italy,0,0,1.75,0.75,1,2,A,D,1,1
1555,salernitana,spezia,4,11,11,9,17,13,4,5,2,4,1,4,13,11,11,12,2,-1,italy,3,0,2.33,1.0,1,0,A,L,0,3
1577,crotone,carpi,13,18,11,10,12,6,3,3,5,1,3,6,13,8,15,18,-2,-10,italy,0,0,2.0,1.25,1,1,A,L,1,2
1583,foggia,brescia,17,8,10,9,6,14,4,2,4,3,5,1,17,16,18,12,-1,4,italy,0,0,3.5,1.0,2,2,H,L,1,2
1588,catanzaro,reggina,5,14,11,10,20,11,6,2,3,3,2,5,16,8,7,13,9,-5,italy,0,4,2.0,0.33,1,0,H,L,0,1
1597,pordenone,ternana,1,6,13,11,25,20,7,4,2,5,5,1,19,14,13,5,6,9,italy,0,0,1.5,0.5,1,0,H,W,1,0
1613,pescara,ascoli,2,11,13,12,23,16,6,5,2,4,4,4,20,12,16,13,4,-1,italy,0,0,3.16,1.16,1,1,H,L,0,1
1614,spezia,foggia,9,17,12,12,17,8,5,2,5,4,4,4,14,19,14,20,0,-1,italy,0,0,2.0,1.0,0,0,A,L,1,2
1628,roma-u19,fiorentina-primavera-u20,2,3,9,9,19,18,6,1,2,6,0,3,31,15,13,11,18,4,italy,0,0,2.33,0.0,1,2,H,W,2,1
1656,cittadella,venezia,8,13,10,10,16,12,4,4,2,3,3,4,11,9,6,10,5,-1,italy,0,0,2.33,1.16,3,2,A,L,1,2
1674,cosenza,lecce,16,4,12,12,8,19,1,5,6,5,4,3,10,22,15,18,-5,4,italy,0,4,2.66,0.83,2,3,H,L,2,3
1678,ascoli,padova,10,16,10,11,15,8,4,3,3,1,5,5,9,10,9,18,0,-8,italy,0,0,2.0,1.0,2,3,H,L,0,1
1705,livorno,perugia,19,14,9,9,5,11,1,2,6,3,2,4,6,11,15,13,-9,-2,italy,0,0,2.8,0.8,2,3,H,D,1,1
1721,padova,cittadella,16,7,10,9,7,15,1,4,5,4,3,2,10,11,18,6,-8,5,italy,0,4,3.33,1.16,0,0,H,L,0,1
1756,venezia,brescia,13,7,11,11,12,18,3,3,5,4,6,1,11,22,13,16,-2,6,italy,0,0,3.0,0.5,2,1,H,L,1,2
1758,benevento,perugia,8,9,11,11,17,17,5,2,4,5,2,4,20,16,18,16,2,0,italy,4,0,1.83,0.66,2,1,H,L,0,4
1780,pro vercelli,alessandria,5,10,9,12,18,13,5,3,1,2,7,3,15,10,9,13,6,-3,italy,0,0,2.66,1.0,1,1,H,D,1,1
1803,brescia,hellas verona,9,5,10,11,15,18,3,6,1,5,3,3,18,13,14,11,4,2,italy,0,0,2.83,1.33,4,2,H,L,0,1
1813,cremonese,livorno,12,19,10,10,12,5,2,6,2,1,2,7,10,8,8,18,2,-10,italy,0,0,2.33,1.0,1,0,A,L,0,1
1877,italy-ac-milan-under-19,chievo-verona-primavera-u20,11,12,7,7,7,6,2,1,4,2,0,5,8,6,16,10,-8,-4,italy,0,-6,2.5,0.0,0,2,H,L,0,2
1894,juventus,as roma,1,7,16,16,46,24,15,1,0,6,6,4,33,29,8,22,25,7,italy,0,0,3.0,0.83,1,0,A,D,0,0
1900,juventus,inter,1,3,14,14,40,29,13,1,0,9,2,3,31,27,8,12,23,15,italy,0,0,3.66,0.5,1,0,A,W,3,2
1911,inter,udinese,3,17,15,15,29,13,9,2,4,3,4,8,27,13,13,21,14,-8,italy,4,5,4.33,2.33,1,0,A,W,4,0
1922,juventus,sampdoria,1,5,18,18,50,29,16,2,0,8,5,5,36,31,10,21,26,10,italy,3,5,3.66,1.33,2,1,H,W,3,0
1924,atalanta,juventus,9,1,17,17,24,49,7,3,7,16,1,0,31,34,23,8,8,26,italy,0,4,2.83,1.33,2,2,A,L,0,2
1929,ac milan,torino,4,7,14,14,25,21,7,4,3,5,6,3,24,19,18,16,6,3,italy,0,0,2.5,1.0,0,0,A,D,1,1
1930,lazio,sampdoria,5,10,14,14,24,19,7,3,4,5,4,5,20,21,16,17,4,4,italy,4,4,4.16,2.0,2,2,H,W,4,0
1933,empoli,inter,16,3,18,18,16,36,4,4,10,11,3,4,22,30,36,14,-14,16,italy,0,5,2.5,1.16,0,1,A,L,0,2
1935,frosinone,ac milan,19,5,17,17,9,27,1,6,10,7,6,4,12,24,36,19,-24,5,italy,0,0,6.0,1.5,0,0,A,D,3,3
1943,ac milan,spal,6,15,18,18,28,17,7,7,4,4,5,9,24,14,19,25,5,-11,italy,4,0,3.0,1.0,2,1,A,W,4,0
1945,lazio,torino,4,8,18,18,31,26,9,4,5,6,8,4,27,23,20,18,7,5,italy,0,0,3.0,0.5,1,1,A,W,1,0
1946,cagliari,napoli,13,2,15,15,17,35,3,8,4,11,2,2,15,32,19,14,-4,18,italy,5,5,4.33,2.0,0,1,H,L,0,5
1950,as roma,sassuolo,10,8,17,17,24,25,6,6,5,6,7,4,29,27,23,23,6,4,italy,0,4,2.83,1.66,3,1,A,W,1,0
1951,chievo,inter,20,3,16,16,4,32,0,7,9,10,2,4,12,28,32,13,-20,15,italy,0,5,2.66,0.66,1,1,H,L,1,2
1954,atalanta,napoli,12,3,13,13,18,29,5,3,5,9,2,2,25,26,17,13,8,13,italy,0,0,2.33,0.66,1,2,H,L,0,1
1955,napoli,bologna,2,18,18,18,41,13,13,2,3,2,7,9,34,13,15,26,19,-13,italy,0,5,5.0,2.16,3,2,H,W,3,1
1957,inter,napoli,3,2,17,17,33,41,10,3,4,13,2,2,29,34,14,14,15,20,italy,0,0,1.33,0.83,1,0,H,D,0,0
1959,bologna,lazio,18,4,17,17,13,28,2,7,8,8,4,5,13,25,24,20,-11,5,italy,0,0,2.66,1.83,0,2,A,D,1,1
1962,bologna,ac milan,18,4,15,15,11,26,2,5,8,7,5,3,13,24,24,18,-11,6,italy,0,5,2.0,0.83,0,0,H,L,1,2
1966,cagliari,as roma,13,7,14,14,16,20,3,7,4,5,5,4,13,24,17,18,-4,6,italy,0,5,2.0,0.83,2,2,H,L,0,1
1969,parma,as roma,12,7,18,18,25,27,7,4,7,7,6,5,17,32,21,24,-4,8,italy,0,4,3.33,1.5,0,2,A,D,0,0
1970,sampdoria,chievo,6,20,17,17,26,5,7,5,5,0,8,9,29,13,21,33,8,-20,italy,0,0,2.66,1.83,2,0,A,L,1,2
1975,ac milan,fiorentina,4,10,16,16,27,22,7,6,3,5,7,4,24,24,18,17,6,7,italy,4,0,2.5,1.33,0,1,H,W,5,1
1976,napoli,spal,2,15,16,16,38,16,12,2,2,4,4,8,33,14,14,24,19,-10,italy,0,0,3.0,1.5,1,0,H,W,1,0
1980,napoli,frosinone,2,19,14,14,32,8,10,2,2,1,5,8,28,11,14,29,14,-18,italy,4,4,3.5,0.83,4,0,H,W,4,0
1984,as roma,inter,7,3,13,13,19,28,5,4,4,9,1,3,22,25,16,10,6,15,italy,0,0,2.66,0.83,2,2,A,D,1,1
1985,chievo,lazio,20,4,13,13,1,23,0,4,9,7,2,4,10,19,30,15,-20,4,italy,4,0,3.5,1.5,1,1,A,L,1,5
2003,torino,empoli,11,15,17,17,23,16,5,8,4,4,4,9,20,22,18,33,2,-11,italy,0,0,1.16,0.66,3,0,A,D,1,1
2008,atalanta,lazio,11,5,15,15,21,25,6,3,6,7,4,4,29,22,20,18,9,4,italy,0,0,3.83,2.0,1,0,A,D,1,1
2019,parma,bologna,12,18,16,16,21,12,6,3,7,2,6,8,16,13,21,24,-5,-11,italy,0,0,1.66,0.83,0,0,A,D,1,1
2029,parma,chievo,9,20,14,14,20,2,6,2,6,0,5,9,15,11,18,31,-3,-20,italy,0,0,2.16,0.83,1,1,H,L,0,1
2034,sassuolo,atalanta,11,9,18,18,25,25,6,7,5,7,4,7,28,33,26,25,2,8,italy,0,0,2.83,2.33,2,6,A,L,1,2
2035,chievo,frosinone,20,19,18,18,5,10,0,8,10,1,7,10,13,12,35,36,-22,-24,italy,4,5,3.0,1.2,1,0,H,W,5,1
2037,spal,udinese,16,17,17,17,16,14,4,4,9,3,5,9,14,14,25,23,-11,-9,italy,0,0,2.66,0.66,0,0,A,D,1,1
2048,sampdoria,bologna,12,18,13,13,16,11,4,4,5,2,5,6,17,11,16,18,1,-7,italy,0,0,2.83,1.0,4,1,H,W,1,0
2049,genoa,fiorentina,14,10,18,18,19,25,5,4,9,6,7,5,25,25,35,18,-10,7,italy,0,0,2.16,0.5,0,0,H,L,2,3
2054,udinese,frosinone,17,19,16,16,13,8,3,4,9,1,5,10,13,11,22,35,-9,-24,italy,0,0,2.66,1.33,1,1,H,W,3,2
2055,genoa,atalanta,14,6,16,16,16,24,4,4,8,7,3,6,22,30,33,20,-11,10,italy,0,5,3.33,1.33,3,1,A,L,1,3
2057,fiorentina,empoli,12,14,15,15,19,16,4,7,4,4,4,7,21,19,16,26,5,-7,italy,0,0,3.33,1.33,3,1,H,L,1,2
2061,palermo,livorno,1,19,14,14,29,9,8,5,1,2,3,9,25,11,11,22,14,-11,italy,0,6,2.83,1.0,1,1,H,W,1,0
2071,sassuolo,udinese,7,16,14,14,20,13,5,5,4,3,4,7,21,12,19,18,2,-6,italy,0,0,1.66,1.0,0,0,H,D,0,0
2072,torino,genoa,11,14,13,13,18,15,4,6,3,4,3,6,17,18,15,27,2,-9,italy,0,0,3.0,1.5,2,1,A,W,2,1
2083,sassuolo,fiorentina,9,12,14,14,20,18,5,5,4,4,6,4,21,18,19,13,2,5,italy,0,0,2.83,1.5,3,3,H,W,1,0
2090,ascoli,crotone,11,17,17,17,21,13,5,6,6,3,4,10,17,15,20,26,-3,-11,italy,0,0,2.33,1.16,3,2,A,L,0,2
2091,cittadella,palermo,7,1,17,17,26,34,6,8,3,9,7,1,20,30,16,13,4,17,italy,0,0,2.25,1.0,0,1,H,D,0,0
2092,udinese,cagliari,17,13,18,18,15,20,3,6,9,4,8,6,14,17,23,23,-9,-6,italy,0,4,3.5,1.16,2,0,A,L,1,2
2094,empoli,sampdoria,16,9,16,16,16,23,4,4,8,6,5,5,20,25,29,19,-9,6,italy,0,-4,1.33,0.33,2,4,A,D,0,0
2102,frosinone,sassuolo,19,9,15,15,8,21,1,5,9,5,6,4,11,24,33,22,-22,2,italy,0,5,3.66,2.33,0,2,H,L,0,1
2109,palermo,ascoli,1,11,16,16,31,21,8,7,1,5,6,5,27,17,13,17,14,0,italy,3,0,3.0,1.16,3,0,H,W,4,1
2110,perugia,foggia,8,18,16,16,23,12,6,5,5,5,5,6,22,24,22,26,0,-2,italy,0,0,2.66,0.83,3,0,H,W,2,0
2111,brescia,cremonese,3,13,16,16,28,19,7,7,2,4,7,5,31,14,21,15,10,-1,italy,0,-4,2.83,0.66,3,2,H,D,1,1
2112,cagliari,genoa,14,13,17,17,17,19,3,8,6,5,4,8,16,25,23,34,-7,-9,italy,0,4,3.5,1.0,1,0,A,L,1,2
2114,lecce,padova,3,18,16,15,26,11,7,5,4,2,5,8,26,15,20,26,6,-11,italy,0,0,2.0,0.66,3,2,H,L,0,1
2117,ascoli,brescia,10,2,15,15,20,27,5,5,5,7,6,2,16,30,16,20,0,10,italy,0,-4,1.0,0.5,1,1,H,D,0,0
2125,udinese,atalanta,17,12,14,14,13,18,3,4,7,5,3,6,12,26,18,19,-6,7,italy,0,0,2.66,1.33,1,3,A,L,0,2
2136,livorno,padova,16,19,17,17,14,11,3,5,9,2,5,10,16,17,24,30,-8,-13,italy,4,4,3.33,1.33,1,1,A,L,1,5
2137,benevento,brescia,6,2,17,17,28,31,8,4,5,8,7,2,26,34,20,23,6,11,italy,0,0,2.5,1.0,1,1,A,L,0,1
2138,venezia,carpi,12,15,17,17,20,16,5,5,7,4,4,9,16,17,18,30,-2,-13,italy,0,0,1.0,0.5,1,1,A,D,0,0
2139,salernitana,pescara,10,5,17,17,24,29,6,6,5,8,5,4,19,25,20,21,-1,4,italy,0,-4,2.66,1.0,2,4,A,L,0,1
2140,foggia,verona,18,4,17,17,12,29,5,5,7,8,5,4,24,24,29,17,-5,7,italy,0,0,1.83,1.0,2,2,A,L,1,2
2146,sassuolo,torino,8,11,16,16,24,22,6,6,4,5,7,4,26,19,22,17,4,2,italy,0,0,3.16,1.83,1,1,H,D,1,1
2149,hellas verona,pescara,7,4,14,15,22,26,6,4,4,7,5,3,17,23,16,18,1,5,italy,0,0,2.0,0.66,3,1,A,L,1,3
2151,sampdoria,parma,11,10,15,15,20,21,5,5,5,6,3,6,23,16,19,19,4,-3,italy,0,0,2.33,0.5,2,0,H,D,2,2
2152,spal,chievo,16,20,15,15,15,3,4,3,8,0,6,9,14,12,24,32,-10,-20,italy,0,0,1.5,0.5,0,0,H,D,0,0
2158,genoa,spal,14,15,14,14,15,14,4,3,7,4,2,8,19,13,29,23,-10,-10,italy,0,0,1.5,0.5,1,1,H,D,1,1
2174,cremonese,perugia,13,8,17,17,19,26,4,7,6,7,5,5,16,25,18,22,-2,3,italy,0,0,3.0,1.0,4,0,A,L,0,1
2183,cittadella,perugia,6,8,15,15,25,22,6,7,2,6,4,5,18,20,10,20,8,0,italy,0,0,2.66,0.83,2,2,A,W,3,1
2184,benevento,crotone,7,16,15,15,22,13,6,4,5,3,4,8,22,15,20,20,2,-5,italy,0,4,2.33,1.16,3,0,H,W,3,2
2197,foggia,cremonese,18,11,14,14,9,19,4,5,5,4,7,3,21,12,24,10,-3,2,italy,4,0,3.5,1.16,3,1,A,W,4,0
2204,spezia,lecce,9,3,17,17,25,29,7,4,6,8,5,4,24,29,19,22,5,7,italy,0,0,2.0,0.4,1,1,H,W,1,0
2212,crotone,spezia,17,10,16,16,13,22,3,4,9,6,4,6,15,21,23,19,-8,2,italy,0,0,1.83,1.16,0,3,H,D,0,0
2215,spezia,palermo,9,1,15,15,21,30,6,3,6,8,6,1,20,26,18,12,2,14,italy,0,0,2.8,0.4,1,1,H,D,0,0
2217,salernitana,foggia,12,17,15,15,20,12,5,5,5,5,5,5,18,24,20,25,-2,-1,italy,0,-4,2.16,0.5,1,0,A,L,0,1
2256,juve stabia,siracusa,1,15,18,17,43,15,13,5,0,4,4,9,41,16,9,23,32,-7,italy,3,0,2.16,1.33,1,0,A,W,3,0
2257,arezzo,lucchese,2,20,19,18,33,11,8,9,2,4,10,4,25,29,16,25,9,4,italy,0,0,1.83,0.83,0,0,A,W,1,0
2265,ternana,teramo,7,15,17,18,27,20,7,6,4,4,8,6,25,16,15,21,10,-5,italy,0,0,2.0,1.0,2,1,H,W,2,0
2280,cremonese,carpi,13,16,15,15,19,13,4,7,4,3,4,8,13,14,13,25,0,-11,italy,0,0,2.75,1.25,1,2,A,D,1,1
2296,salernitana,brescia,10,6,13,13,20,21,5,5,3,5,6,2,15,25,14,18,1,7,italy,0,0,3.16,0.66,1,3,H,W,4,2
2317,carrarese,arzachena,3,18,19,19,31,14,9,4,6,5,0,14,43,13,28,32,15,-19,italy,4,0,4.33,2.33,2,0,A,W,5,1
2341,matera,catanzaro,18,5,15,14,7,27,4,3,8,8,3,3,14,19,21,8,-7,11,italy,0,5,2.83,1.33,1,1,H,W,2,1
2342,brescia,lecce,5,2,14,15,24,26,6,6,2,7,5,3,28,25,19,18,9,7,italy,0,0,2.5,1.83,2,1,H,D,2,2
2343,carpi,salernitana,18,10,15,15,11,21,2,5,8,5,6,4,11,16,23,17,-12,-1,italy,0,4,4.4,1.0,3,2,A,W,2,1
2350,pordenone,gubbio,1,14,16,16,32,17,9,5,2,3,8,5,24,14,15,14,9,0,italy,0,0,3.0,1.0,1,0,A,W,3,2
2359,alessandria,novara,15,10,15,14,14,17,2,8,5,3,8,3,11,16,19,13,-8,3,italy,0,0,2.5,1.5,1,1,A,L,1,2
2361,catania,virtus francavilla,5,15,13,13,24,13,7,3,3,4,1,8,19,14,12,23,7,-9,italy,0,0,1.5,0.75,1,0,H,W,1,0
2372,lecce,perugia,2,8,14,13,25,20,7,4,3,6,2,5,25,19,18,19,7,0,italy,0,0,4.0,2.0,0,0,H,L,3,4
2380,alessandria,piacenza,15,4,13,12,13,23,2,7,4,7,2,3,10,22,16,15,-6,7,italy,0,0,2.75,0.5,0,2,H,D,1,1
2388,carpi,lecce,17,2,13,14,10,25,2,4,7,7,4,3,11,25,21,18,-10,7,italy,0,0,2.0,1.0,0,1,A,D,1,1
2417,carpi,livorno,15,18,16,16,16,11,4,4,8,2,5,9,16,12,26,23,-10,-11,italy,4,0,2.75,1.25,1,4,H,W,4,0
2419,pro piacenza,robur siena,1,8,17,16,36,25,11,3,3,6,7,3,29,21,16,17,13,4,italy,0,4,2.2,0.4,0,1,H,L,1,2
2429,giana erminio,pordenone,17,1,17,17,16,35,3,7,7,10,5,2,17,25,23,15,-6,10,italy,0,0,2.66,1.33,1,1,A,L,1,3
2437,crotone,venezia,15,12,15,15,13,20,3,4,8,5,5,5,14,15,19,15,-5,0,italy,0,0,1.0,0.5,1,1,A,D,0,0
2442,casertana,reggina,8,12,15,14,22,17,5,7,3,5,2,7,19,13,14,20,5,-7,italy,0,-4,2.33,1.0,0,1,A,L,1,2
2444,monza,albinoleffe,12,20,16,16,20,12,5,5,6,1,9,6,14,8,16,13,-2,-5,italy,0,0,1.5,1.5,1,1,H,D,1,1
2461,ascoli,cittadella,11,5,14,14,19,24,5,4,5,6,6,2,15,17,15,9,0,8,italy,0,0,3.0,1.16,1,1,H,L,1,2
2462,perugia,spezia,8,9,14,14,21,20,6,3,5,6,2,6,19,19,19,17,0,2,italy,3,0,2.16,1.16,1,1,H,W,3,0
2467,cuneo,pro piacenza,11,2,14,14,18,29,5,6,3,9,2,3,10,27,10,16,0,11,italy,0,0,2.4,0.8,0,0,A,W,1,0
2468,pistoiese,pontedera,18,5,13,15,11,23,2,5,6,6,5,4,15,14,20,12,-5,2,italy,3,-4,2.83,1.83,0,1,H,W,3,0
2469,juve stabia,sicula leonzio,1,10,14,15,35,18,11,3,0,5,3,7,31,11,7,15,24,-4,italy,3,0,1.5,0.5,4,0,H,W,3,0
2470,virtus entella,pro patria,6,11,9,15,22,17,7,1,1,4,5,6,16,15,7,20,9,-5,italy,0,-6,2.66,0.33,0,1,H,D,0,0
2479,trapani,juve stabia,3,1,13,13,26,32,8,3,2,10,3,0,22,29,8,6,14,23,italy,0,4,4.0,2.0,1,2,H,W,3,1
2480,vicenza,teramo,6,14,14,14,23,15,6,5,3,3,6,5,21,13,15,18,6,-5,italy,0,0,2.0,0.0,1,1,A,W,2,1
2481,pordenone,ravenna,1,7,14,14,26,23,7,5,2,6,5,3,20,13,14,10,6,3,italy,0,0,2.0,1.5,2,1,A,L,0,1
2514,arezzo,pro patria,2,11,14,14,25,16,6,7,1,4,4,6,18,14,10,19,8,-5,italy,0,-4,2.6,1.6,1,1,H,D,1,1
2531,rende,paganese,5,19,18,18,31,5,10,2,6,0,5,13,26,17,19,45,7,-28,italy,3,0,3.0,1.33,1,2,A,W,4,1
2532,cuneo,pisa,11,6,19,19,23,30,6,8,5,8,6,5,12,21,14,18,-2,3,italy,0,0,0.75,0.5,0,0,H,D,0,0
2533,novara,pontedera,10,8,19,20,26,28,5,11,3,7,7,6,25,19,17,19,8,0,italy,0,0,0.5,0.5,1,0,H,W,1,0
2534,robur siena,pro piacenza,7,19,17,15,28,13,7,7,3,5,1,9,22,18,17,27,5,-9,italy,0,4,2.2,0.4,1,2,A,W,2,1
2555,virtus francavilla,juve stabia,13,1,16,17,17,42,5,2,9,13,4,0,15,40,24,8,-9,32,italy,0,0,2.4,0.8,1,1,A,L,3,4
2558,carrarese,virtus entella,2,7,18,12,31,26,9,4,5,8,2,2,43,19,26,10,17,9,italy,3,0,2.0,1.0,0,2,A,L,0,3
2559,trapani,catanzaro,2,4,17,16,33,31,10,4,3,9,4,3,28,23,12,10,16,13,italy,0,0,3.25,1.0,2,1,A,W,2,1
2565,bisceglie,virtus francavilla,16,13,16,15,14,16,3,5,8,5,1,9,9,15,20,24,-11,-9,italy,0,0,1.5,0.5,0,0,A,D,0,0
2566,catanzaro,siracusa,4,15,16,16,31,14,9,4,3,4,3,9,22,14,9,21,13,-7,italy,0,0,2.0,0.66,3,1,H,W,1,0
2567,juve stabia,matera,1,18,17,17,42,8,13,4,0,4,4,9,38,15,8,24,30,-9,italy,0,-4,2.16,1.16,4,0,H,W,2,0
2568,paganese,trapani,19,2,17,17,6,31,0,6,11,9,5,3,15,25,40,11,-25,14,italy,3,0,3.66,2.0,1,3,A,L,1,4
2569,olbia,piacenza,17,1,16,16,14,33,3,5,8,10,3,3,16,28,26,16,-10,12,italy,0,0,2.5,1.25,0,1,A,L,0,1
2570,pisa,pro patria,4,10,16,17,28,21,8,4,4,5,6,6,19,16,14,20,5,-4,italy,0,0,3.5,2.0,0,2,A,L,2,4
2571,cuneo,carrarese,11,2,16,17,19,31,5,7,4,9,4,4,10,43,12,24,-2,19,italy,0,0,1.5,1.0,2,0,A,D,1,1
2572,alessandria,pontedera,14,6,17,17,16,26,2,10,5,7,5,5,12,15,20,14,-8,1,italy,4,0,2.75,1.25,1,1,H,W,5,1
