,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
4219,sassuolo,ac milan,4,15,6,5,13,6,4,1,1,1,3,1,14,8,8,8,6,0,italy,0,4,2.83,1.0,1,4,A,D,1,1
4223,bologna,as roma,18,11,4,4,1,5,0,1,3,1,2,1,0,7,5,7,-5,0,italy,0,0,2.5,1.16,2,0,H,D,1,1
4231,napoli,fiorentina,5,3,3,2,6,6,2,0,1,2,0,0,5,7,6,1,-1,6,italy,3,0,2.83,1.0,1,0,H,L,0,3
4239,torino,napoli,12,4,4,4,5,9,1,2,1,3,0,1,4,6,4,6,0,0,italy,0,5,4.5,2.16,1,3,H,D,2,2
4241,sampdoria,inter,5,14,4,4,7,4,2,1,1,1,1,2,9,5,2,4,7,1,italy,5,0,3.33,1.5,0,1,H,L,0,5
4242,fiorentina,udinese,5,4,2,3,4,5,1,1,0,1,2,0,6,3,1,2,5,1,italy,0,4,3.0,1.5,1,0,H,L,0,2
4249,fiorentina,spal,2,5,5,5,10,9,3,1,1,3,0,2,11,4,3,4,8,0,italy,0,0,1.0,0.5,3,0,H,D,0,0
4253,fiorentina,atalanta,3,16,7,7,13,6,4,1,2,1,3,3,14,9,5,10,9,-1,italy,0,-4,1.83,0.5,2,0,H,W,2,0
4258,sampdoria,fiorentina,5,6,3,3,6,6,2,0,1,2,0,1,8,7,1,2,7,5,italy,0,0,3.33,1.5,1,1,H,W,3,1
4259,frosinone,sampdoria,19,13,3,2,1,3,0,1,2,1,0,1,0,3,5,1,-5,2,italy,0,0,2.0,0.5,0,5,H,L,0,2
4265,atalanta,torino,13,14,6,6,6,6,1,3,2,1,3,2,9,5,8,7,1,-2,italy,0,0,2.16,0.5,0,0,H,D,0,0
4266,chievo,udinese,20,13,4,4,-1,5,0,2,2,1,2,1,5,4,11,4,-6,0,italy,0,0,2.16,1.16,0,2,H,D,1,1
4269,torino,spal,13,3,2,2,1,6,0,1,1,2,0,0,2,2,3,0,-1,2,italy,0,0,3.5,2.0,1,0,A,L,1,2
4272,parma,empoli,12,17,6,6,7,5,2,1,3,1,2,3,6,5,8,7,-2,-2,italy,4,0,3.16,1.83,1,0,A,L,0,4
4274,frosinone,genoa,19,8,6,5,1,9,0,1,5,3,0,2,0,9,16,10,-16,-1,italy,4,0,3.75,2.5,1,2,A,L,0,4
4280,genoa,chievo,8,20,5,6,9,-1,3,0,2,0,2,4,9,5,10,15,-1,-10,italy,0,0,1.5,0.33,2,0,H,W,2,0
