,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
2186,paris fc,red star 93,6,20,18,18,31,12,8,7,3,3,3,12,17,13,10,31,7,-18,france,0,0,4.5,0.83,1,1,H,W,6,5
2190,valenciennes,metz,17,1,17,17,17,38,4,5,8,12,2,3,22,30,30,12,-8,18,france,0,0,2.0,0.6,0,2,H,W,2,1
2201,dijon,guingamp,18,20,15,15,13,8,3,4,8,1,5,9,14,10,25,30,-11,-20,france,0,0,3.5,1.5,2,1,H,W,3,1
2220,strasbourg,nice,9,7,18,17,23,26,5,8,5,7,5,5,28,13,23,15,5,-2,france,0,0,1.83,0.33,2,0,H,D,1,1
2233,reims,strasbourg,11,8,17,17,22,23,5,7,5,5,8,4,11,27,15,21,-4,6,france,0,0,3.0,2.0,2,1,H,D,1,1
2279,reims,caen,8,16,18,18,25,17,6,7,5,3,8,7,13,17,16,23,-3,-6,france,0,4,2.83,1.16,2,2,A,W,2,0
2281,niort,brest,7,2,18,18,31,37,9,4,5,11,4,3,20,34,15,17,5,17,france,0,4,2.83,1.33,1,1,A,L,0,2
2334,lens,ajaccio,3,15,18,18,32,18,9,5,4,4,6,8,26,17,14,24,12,-7,france,0,4,3.5,2.16,1,2,A,L,0,2
2335,troyes,clermont,8,10,18,18,29,26,9,2,7,6,8,4,26,20,18,14,8,6,france,0,4,2.16,1.0,0,1,H,W,3,1
2379,lens,brest,4,2,16,16,28,34,8,4,4,10,4,2,24,30,13,15,11,15,france,0,0,3.0,1.33,2,1,A,D,1,1
2430,auxerre,grenoble,13,5,18,18,20,31,5,5,8,9,4,5,16,23,18,15,-2,8,france,5,0,2.25,1.25,4,0,A,L,0,5
2431,chateauroux,gfc ajaccio,12,14,18,18,22,19,5,7,6,5,4,9,14,16,20,28,-6,-12,france,3,0,2.83,1.0,0,1,H,W,4,1
2432,beziers,orleans,16,11,18,18,18,23,5,3,10,7,2,9,13,23,23,28,-10,-5,france,0,0,5.33,1.33,1,2,A,L,6,7
2460,clermont,lens,10,4,17,17,25,31,6,7,4,9,4,4,20,26,14,14,6,12,france,0,0,2.33,0.33,0,0,A,W,1,0
2601,sochaux,lorient,18,4,18,18,17,31,5,2,11,8,7,3,14,24,25,15,-11,9,france,0,4,2.16,0.83,1,0,H,L,0,2
2655,red star,sochaux,20,16,17,17,9,17,2,3,12,5,2,10,10,14,31,22,-21,-8,france,0,0,1.75,0.75,3,0,H,D,1,1
2731,sochaux,gfc ajaccio,18,16,16,16,14,17,4,2,10,5,2,9,12,14,22,25,-10,-11,france,3,0,2.66,0.33,2,0,H,W,4,1
2739,lyon,guingamp,1,6,12,12,34,15,11,1,0,4,3,5,49,13,3,21,46,-8,france,0,0,4.83,1.5,7,0,A,W,4,2
2762,monaco,saint etienne,2,7,38,38,80,55,24,8,6,15,10,13,85,47,45,50,40,-3,france,4,0,2.16,0.83,1,0,H,L,0,4
2765,caen,paris sg,16,1,38,38,38,93,10,8,20,29,6,3,27,108,52,29,-25,79,france,0,5,4.16,2.0,0,0,A,W,3,1
2775,strasbourg,lyon,15,3,38,38,38,78,9,11,18,23,9,6,44,87,67,43,-23,44,france,4,6,3.5,1.66,3,2,H,W,4,0
2787,amiens,paris sg,13,1,38,38,45,93,12,9,17,29,6,3,37,108,42,29,-5,79,france,0,0,1.66,0.33,2,2,H,L,0,2
2805,marseille,nice,4,8,38,38,77,54,22,11,5,15,9,14,80,53,47,52,33,1,france,0,0,3.33,2.0,2,1,A,L,1,2
2835,guingamp,marseille,12,4,38,38,47,77,12,11,15,22,11,5,48,80,59,47,-11,33,france,0,0,1.83,0.5,3,3,H,W,1,0
2930,ajaccio,niort,3,15,38,38,68,42,20,8,10,11,9,18,62,47,43,60,19,-13,france,0,0,2.16,1.33,2,2,H,D,0,0
2934,caen,monaco,16,2,38,38,38,80,10,8,20,24,8,6,27,85,52,45,-25,40,france,0,4,2.66,0.5,1,2,A,L,0,2
3025,auxerre,ajaccio,11,3,38,38,47,68,13,8,17,20,8,10,51,62,55,43,-4,19,france,0,0,1.66,1.0,1,1,A,L,1,3
3026,niort,le havre,15,4,38,38,42,66,11,9,18,19,9,10,47,53,60,34,-13,19,france,0,-5,1.16,0.66,0,1,A,L,1,2
3269,clermont,paris fc,6,8,38,38,63,61,17,12,9,16,13,9,54,46,36,36,18,10,france,0,0,2.0,0.33,2,2,A,W,2,0
3290,saint etienne,bordeaux,7,6,38,38,55,55,15,10,13,16,7,15,47,53,50,48,-3,5,france,0,0,3.83,1.83,1,3,H,L,1,3
3306,sochaux,clermont,10,6,38,38,53,63,15,8,15,17,12,9,51,54,62,36,-11,18,france,0,0,2.16,0.83,1,3,H,L,0,2
3322,lorient,le havre,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,0,0,3.16,1.83,0,0,A,L,0,1
3323,clermont,chateauroux,9,10,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,france,0,0,2.5,0.83,0,0,H,D,0,0
3626,guingamp,paris sg,12,2,1,1,0,3,0,0,1,1,0,0,1,3,2,0,-1,3,france,0,4,3.66,0.66,1,3,H,D,2,2
3636,niort,orleans,6,20,3,3,6,0,2,0,1,0,0,3,6,1,4,10,2,-9,france,0,0,2.33,1.33,1,1,H,L,2,3
3640,paris sg,caen,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,0,4,3.66,1.66,3,0,A,D,0,0
3641,amiens,lyon,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,3,0,3.0,1.0,2,0,H,W,3,0
3642,bordeaux,monaco,18,8,2,2,0,4,0,0,2,1,1,0,1,3,4,1,-3,2,france,0,4,3.0,1.0,2,1,H,W,2,1
3652,paris sg,angers,1,16,2,2,6,0,2,0,0,0,0,2,6,3,1,5,5,-2,france,0,6,3.16,1.5,3,1,H,W,2,1
3654,le havre,clermont,9,17,3,3,5,1,1,2,0,0,1,2,2,4,1,7,1,-3,france,0,4,2.5,0.66,0,0,H,W,2,1
3662,paris fc,beziers,8,7,3,3,5,6,1,2,0,2,0,1,4,3,2,1,2,2,france,0,0,0.5,0.0,1,0,H,D,0,0
3663,auxerre,nancy,12,19,3,3,3,0,1,0,2,0,0,3,6,0,6,7,0,-7,france,0,0,2.83,1.5,1,0,H,W,2,1
3664,bordeaux,strasbourg,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,0,0,2.16,1.33,0,2,A,W,2,0
3669,sochaux,brest,14,10,3,3,3,4,1,0,2,1,1,1,3,3,4,3,-1,0,france,0,0,2.33,1.5,2,0,A,D,1,1
3681,sochaux,valenciennes,16,1,1,1,0,3,0,0,1,1,0,0,0,3,1,1,-1,2,france,0,0,3.16,1.33,0,1,A,D,2,2
3683,montpellier,saint etienne,11,8,2,2,3,4,1,0,1,1,1,0,3,3,3,2,0,1,france,0,0,2.16,0.66,0,0,H,L,0,1
3687,dijon,nantes,9,15,1,1,3,0,1,0,0,0,0,1,2,1,1,3,1,-2,france,0,0,2.33,1.0,2,0,A,D,1,1
3693,nice,dijon,14,3,2,2,1,6,0,1,1,2,0,0,1,4,2,1,-1,3,france,0,4,4.5,1.0,0,4,A,L,2,3
3695,metz,ajaccio,3,14,3,3,9,3,3,0,0,1,0,2,9,3,3,4,6,-1,france,0,0,2.16,0.83,3,1,A,L,2,3
3697,strasbourg,saint etienne,7,9,1,1,3,3,1,0,0,1,0,0,2,2,0,1,2,1,france,0,0,3.83,0.83,1,1,H,L,0,1
3698,amiens,montpellier,18,13,1,1,0,0,0,0,1,0,0,1,0,1,2,2,-2,-1,france,0,0,3.66,0.83,1,2,H,D,1,1
3702,saint etienne,guingamp,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,france,0,5,2.16,0.66,2,1,H,W,2,0
3703,auxerre,gfc ajaccio,18,8,1,1,0,1,0,0,1,0,1,0,1,1,3,1,-2,0,france,0,4,2.0,0.83,2,3,H,W,3,1
