,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
24,marseille,lille,7,2,20,21,31,40,9,4,7,12,4,5,33,34,29,21,4,13,france,3,0,2.33,0.83,1,2,A,L,0,3
25,lille,amiens,2,17,20,20,37,18,11,4,5,5,3,12,32,17,20,34,12,-17,france,0,0,3.0,0.66,2,1,A,W,3,2
45,lyon,reims,3,9,18,19,32,26,9,5,4,6,8,5,30,15,21,18,9,-3,france,0,4,3.0,1.83,1,1,A,L,0,1
51,paris sg,guingamp,1,20,18,20,50,14,16,2,0,3,5,12,53,16,10,36,43,-20,france,0,0,4.0,0.83,9,0,A,W,3,1
52,marseille,monaco,7,19,17,18,27,13,8,3,6,3,4,11,30,16,26,29,4,-13,france,0,0,5.33,2.66,1,1,A,W,3,2
55,monaco,strasbourg,19,7,20,20,15,29,3,6,11,7,8,5,18,32,31,24,-13,8,france,0,0,2.83,1.16,1,5,A,L,1,2
70,caen,marseille,16,9,20,19,18,28,3,9,8,8,4,7,20,32,28,29,-8,3,france,0,5,3.33,1.33,0,1,A,L,0,2
72,dijon,monaco,18,19,20,21,17,15,4,5,11,3,6,12,17,19,33,36,-16,-17,france,0,0,3.33,1.83,2,0,A,D,2,2
73,saint etienne,lyon,3,4,20,20,36,34,10,6,4,9,7,4,31,33,23,24,8,9,france,0,0,2.16,1.0,1,2,A,L,0,1
77,dijon,montpellier,18,5,18,18,16,30,4,4,10,8,6,4,16,25,31,15,-15,10,france,0,-4,3.33,1.16,1,1,A,W,2,1
84,monaco,nice,19,8,19,19,14,29,3,5,11,8,5,6,17,14,30,17,-13,-3,france,0,0,3.16,1.33,1,1,H,D,2,2
85,guingamp,saint etienne,20,5,18,18,11,30,2,5,11,8,6,4,14,28,34,22,-20,6,france,0,4,2.16,0.83,0,1,A,L,1,2
89,bordeaux,dijon,12,18,19,19,25,17,6,7,6,4,5,10,22,17,22,32,0,-15,france,0,0,2.16,0.66,1,0,A,W,1,0
92,toulouse,lyon,14,3,19,19,21,33,5,6,8,9,6,4,18,31,29,22,-11,9,france,0,6,3.33,1.16,2,2,A,L,0,2
93,caen,lille,16,2,19,19,18,34,3,9,7,10,4,5,19,29,25,19,-6,10,france,0,5,2.0,0.83,1,3,A,L,0,1
105,nice,bordeaux,10,13,18,17,26,22,7,5,6,5,7,5,13,20,17,20,-4,0,france,0,0,1.66,1.16,1,0,A,W,1,0
109,saint etienne,marseille,4,9,19,18,33,28,9,6,4,8,4,6,29,31,22,27,7,4,france,0,0,2.5,1.16,2,1,A,D,2,2
111,nantes,montpellier,14,4,17,17,20,30,5,5,7,8,6,3,24,25,25,13,-1,12,france,3,5,2.66,1.0,2,0,A,W,3,0
113,red star,lens,20,5,19,19,13,32,3,4,12,9,5,5,14,27,32,16,-18,11,france,0,4,2.6,0.8,1,0,A,L,0,1
116,angers,nantes,15,14,19,20,20,23,4,8,7,6,5,9,21,26,24,27,-3,-1,france,0,5,2.16,0.66,1,0,A,D,1,1
119,reims,nice,10,6,20,20,27,30,6,9,5,8,6,6,16,15,19,18,-3,-3,france,0,0,1.16,0.66,1,1,A,W,1,0
121,strasbourg,bordeaux,5,11,21,20,32,28,8,8,5,7,7,6,37,23,25,22,12,1,france,0,0,2.5,1.33,1,0,A,W,2,0
124,le havre,red star,10,19,20,20,31,16,8,7,5,4,4,12,25,15,21,32,4,-17,france,0,0,1.6,0.8,1,0,A,W,1,0
128,angers,bordeaux,15,13,18,18,20,22,4,8,6,5,7,6,20,20,22,21,-2,-1,france,0,0,2.33,1.16,1,2,A,D,0,0
130,toulouse,strasbourg,14,9,18,19,21,26,5,6,7,6,8,5,17,30,27,23,-10,7,france,0,4,3.0,1.0,1,2,A,D,1,1
131,amiens,angers,17,15,18,17,17,19,5,2,11,4,7,6,17,20,31,22,-14,-2,france,0,0,1.33,0.5,0,0,A,L,0,1
135,orleans,metz,11,1,19,18,26,41,8,2,9,13,2,3,25,32,29,12,-4,20,france,4,0,4.66,2.0,0,1,A,L,1,5
137,guingamp,reims,20,12,21,21,14,28,3,5,13,6,10,5,16,17,45,20,-29,-3,france,0,0,2.66,1.0,0,1,A,L,1,2
138,paris fc,brest,5,2,20,20,35,39,9,8,3,11,6,3,20,36,12,19,8,17,france,0,-4,2.5,0.66,0,1,A,D,1,1
142,metz,clermont,1,6,19,20,44,32,14,2,3,8,8,4,33,24,12,16,21,8,france,0,0,2.83,1.33,1,2,A,W,3,2
159,lorient,gfc ajaccio,4,15,20,20,34,22,9,7,4,6,4,10,26,17,17,32,9,-15,france,0,0,2.5,1.5,0,1,A,W,3,1
191,nancy,paris fc,19,4,18,19,13,32,3,4,11,8,8,3,10,18,24,11,-14,7,france,0,0,2.6,0.6,1,2,A,L,0,2
197,brest,sochaux,2,17,22,22,45,21,13,6,3,6,3,13,38,15,19,27,19,-12,france,0,0,3.33,1.16,1,0,A,L,0,2
200,valenciennes,lorient,16,6,21,21,21,34,5,6,10,9,7,5,27,26,37,18,-10,8,france,0,0,2.5,1.5,1,2,A,L,1,3
248,nancy,auxerre,20,11,20,21,13,29,3,4,13,8,5,8,12,27,28,18,-16,9,france,0,0,2.33,1.33,1,0,A,L,0,1
255,sochaux,ajaccio,17,13,20,20,20,24,6,2,12,6,6,8,15,21,26,26,-11,-5,france,0,0,3.33,1.83,0,0,A,W,3,2
262,brest,troyes,2,9,19,19,38,29,11,5,3,9,2,8,35,26,18,19,17,7,france,0,4,2.16,1.5,1,1,A,W,2,1
266,clermont,niort,9,5,19,19,29,32,7,8,4,9,5,5,21,21,14,16,7,5,france,0,0,3.16,0.83,3,2,A,L,2,4
291,lens,nancy,5,20,20,19,32,13,9,5,6,3,4,12,27,11,17,26,10,-15,france,3,0,1.83,0.83,2,1,A,W,3,0
294,auxerre,orleans,11,12,20,20,26,26,7,5,8,8,2,10,24,25,18,30,6,-5,france,3,0,2.83,1.33,3,0,A,W,3,0
295,chateauroux,valenciennes,14,16,20,20,22,20,5,7,8,5,5,10,15,26,23,36,-8,-10,france,0,0,2.0,1.0,1,1,A,D,1,1
303,valenciennes,sochaux,18,16,18,19,17,20,4,5,9,6,2,11,22,15,32,25,-10,-10,france,0,0,2.66,1.16,1,0,A,W,1,0
344,gfc ajaccio,auxerre,14,12,19,19,22,23,6,4,9,6,5,8,17,20,28,18,-11,2,france,0,5,3.16,1.66,0,4,A,L,1,3
378,niort,grenoble,7,8,20,20,32,32,9,5,6,9,5,6,23,23,19,19,4,4,france,0,0,2.83,1.16,1,1,A,L,0,1
386,grenoble,le havre,8,10,19,18,31,27,9,4,6,7,6,5,23,21,19,18,4,3,france,0,0,1.5,0.66,0,0,A,D,1,1
486,orleans,niort,12,9,22,22,29,33,9,2,11,9,6,7,26,24,33,21,-7,3,france,0,0,2.5,1.66,1,0,H,W,1,0
557,avranches,le mans,13,1,17,18,18,35,4,6,7,9,8,1,15,21,20,10,-5,11,france,0,0,2.0,1.0,0,2,H,L,0,2
559,chambly,pau fc,2,11,17,17,35,19,10,5,2,5,4,8,24,17,14,17,10,0,france,0,0,1.66,0.66,1,0,H,W,1,0
612,marseille,paris sg,5,1,10,10,19,30,6,1,3,10,0,0,22,37,16,6,6,31,france,3,4,3.66,1.5,0,2,H,L,0,3
621,monaco,dijon,19,16,10,10,6,10,1,3,6,3,1,6,10,10,15,15,-5,-5,france,4,4,3.0,1.5,2,2,H,W,4,0
632,paris sg,amiens,1,13,9,9,27,10,9,0,0,3,1,5,32,11,6,13,26,-2,france,0,0,2.25,0.5,5,0,A,D,2,2
634,lille,caen,2,12,10,10,22,11,7,1,2,2,5,3,19,10,8,13,11,-3,france,0,5,2.33,1.0,1,0,A,W,1,0
639,nice,marseille,14,4,9,9,11,16,3,2,4,5,1,3,7,21,13,16,-6,5,france,0,0,3.33,2.0,0,1,A,L,1,2
643,sochaux,metz,15,3,9,9,10,21,3,1,5,7,0,2,6,19,8,8,-2,11,france,0,0,1.66,0.66,1,2,A,L,0,1
645,bordeaux,nice,8,17,10,10,14,11,4,2,4,3,2,5,13,7,13,14,0,-7,france,0,0,1.5,1.16,0,1,H,D,0,0
649,dijon,lille,15,2,9,9,10,19,3,1,5,6,1,2,9,17,13,7,-4,10,france,0,4,1.83,1.5,1,2,A,L,1,2
659,angers,lyon,10,5,10,10,12,17,3,3,4,5,2,3,12,16,13,12,-1,4,france,0,0,3.0,1.66,1,2,A,D,1,1
663,montpellier,bordeaux,5,7,9,9,16,14,4,4,1,4,2,3,12,13,7,11,5,2,france,0,0,2.83,1.16,2,0,H,L,1,3
709,guingamp,strasbourg,20,7,10,10,6,15,1,3,6,4,3,3,6,18,18,14,-12,4,france,0,0,2.0,0.83,1,1,A,W,2,0
711,toulouse,montpellier,9,3,10,10,13,19,3,4,3,5,4,1,10,14,16,7,-6,7,france,0,0,1.66,1.33,0,3,A,L,1,2
713,lens,gfc ajaccio,3,13,10,10,23,12,7,2,1,3,3,4,14,11,4,15,10,-4,france,0,4,2.5,1.5,5,0,A,D,1,1
715,caen,guingamp,14,20,9,9,10,5,2,4,3,1,2,6,10,6,13,18,-3,-12,france,0,-4,1.33,0.16,0,0,A,D,0,0
724,amiens,nantes,17,18,10,10,10,9,3,1,6,2,3,5,11,12,18,16,-7,-4,france,0,4,2.66,0.83,1,2,A,W,1,0
726,nantes,toulouse,19,8,9,9,6,13,1,3,5,3,4,2,8,10,16,12,-8,-2,france,0,-4,1.66,0.66,4,0,A,D,1,1
732,troyes,auxerre,18,16,8,8,7,7,2,1,5,2,1,5,5,7,9,11,-4,-4,france,0,0,2.83,1.33,1,0,A,W,3,2
748,le havre,lens,9,2,11,11,16,26,4,4,3,8,2,1,12,19,10,4,2,15,france,0,4,2.5,1.5,2,1,A,D,3,3
750,lorient,metz,4,1,11,11,21,27,6,3,2,9,0,2,18,24,9,9,9,15,france,4,5,4.33,1.83,0,0,H,W,5,1
766,metz,amiens,1,20,12,12,28,5,9,1,2,1,2,9,24,4,9,18,15,-14,france,0,0,2.16,1.5,1,2,A,L,0,2
788,reims,angers,17,10,9,9,10,11,2,4,3,3,2,4,4,11,9,12,-5,-1,france,0,4,1.5,0.83,1,1,H,W,2,1
793,brest,lorient,3,4,10,10,22,21,7,1,2,6,3,1,20,16,9,6,11,10,france,3,4,3.16,1.33,3,2,H,W,3,0
797,ajaccio,le havre,17,7,10,10,9,16,2,3,5,4,4,2,7,10,12,7,-5,3,france,0,0,1.33,0.66,3,2,A,L,0,2
798,nancy,grenoble,20,6,10,10,4,17,1,1,8,5,2,3,2,12,15,10,-13,2,france,0,0,2.33,0.66,1,2,H,L,0,2
845,auxerre,paris fc,18,7,11,11,10,17,3,1,7,4,5,2,10,9,14,8,-4,1,france,0,0,2.75,0.75,0,2,H,D,1,1
846,valenciennes,nancy,16,20,11,11,11,4,3,2,6,1,1,9,14,3,21,17,-7,-14,france,0,0,1.5,0.5,1,1,H,L,0,1
864,orleans,valenciennes,9,14,10,10,16,11,5,1,4,3,2,5,14,14,14,20,0,-6,france,0,5,2.83,1.16,1,0,A,W,1,0
865,troyes,sochaux,11,15,10,10,13,10,4,1,5,3,1,6,9,7,9,10,0,-3,france,0,4,2.66,0.66,1,2,A,W,3,2
917,red star 93,orleans,19,5,12,12,8,22,2,2,8,7,1,4,9,18,20,14,-11,4,france,4,0,1.83,0.66,0,4,A,L,0,4
918,chateauroux,ajaccio,13,15,12,12,14,12,3,5,4,3,3,6,8,10,14,15,-6,-5,france,0,0,2.0,0.83,2,2,H,L,0,2
964,paris fc,chateauroux,8,16,10,10,16,10,4,4,2,2,4,4,9,7,8,14,1,-7,france,0,0,1.5,0.5,0,0,H,D,0,0
1029,sochaux,niort,12,8,11,11,13,17,4,1,6,5,2,4,9,13,11,13,-2,0,france,0,0,3.0,2.0,0,3,A,D,1,1
1145,monaco,paris sg,19,1,12,12,7,36,1,4,7,12,0,0,12,41,18,7,-6,34,france,4,6,4.33,2.16,0,4,A,L,0,4
1169,marseille,dijon,7,18,12,12,19,11,6,1,5,3,2,7,22,12,21,21,1,-9,france,0,4,3.33,1.16,2,0,A,W,3,1
1176,amiens,marseille,16,7,13,13,13,22,4,1,8,7,1,5,13,24,21,21,-8,3,france,0,0,2.5,1.5,1,3,A,L,1,2
1187,paris sg,lille,1,2,12,12,36,25,12,0,0,8,1,3,41,21,7,10,34,11,france,0,6,3.0,0.5,2,1,H,W,2,1
1191,guingamp,lyon,20,4,12,12,7,21,1,4,7,6,3,3,7,19,24,14,-17,5,france,0,0,4.83,2.0,2,4,H,L,0,2
1197,lille,strasbourg,3,7,12,12,25,17,8,1,3,4,5,3,21,20,10,16,11,4,france,0,4,2.5,0.66,0,0,A,L,0,2
1203,paris sg,toulouse,1,15,13,13,39,14,13,0,0,3,5,5,45,11,7,21,38,-10,france,0,4,2.66,0.66,1,0,A,W,1,0
1205,brest,nancy,3,20,13,13,27,5,8,3,2,1,2,10,26,4,14,19,12,-15,france,0,0,2.83,1.5,2,1,A,D,2,2
1207,nantes,guingamp,10,20,12,12,15,7,4,3,5,1,4,7,19,7,17,24,2,-17,france,3,4,3.0,0.83,5,0,A,W,3,0
1208,lyon,bordeaux,4,8,11,11,20,14,6,2,3,4,2,5,18,13,13,14,5,-1,france,0,0,3.83,2.33,1,1,A,L,1,3
1213,montpellier,marseille,3,5,12,12,23,20,6,5,1,6,2,4,17,22,7,18,10,4,france,0,0,2.5,1.33,3,0,A,D,0,0
1217,bordeaux,caen,12,16,12,12,15,11,4,3,5,2,5,5,14,11,15,16,-1,-5,france,0,4,2.16,0.83,0,0,H,L,0,2
1222,metz,auxerre,1,18,12,12,28,10,9,1,2,3,1,8,24,10,9,16,15,-6,france,4,0,2.0,0.83,0,1,A,L,0,4
1223,reims,monaco,8,19,12,12,17,7,4,5,3,1,4,7,8,12,10,18,-2,-6,france,0,0,2.83,1.5,1,0,A,D,2,2
1227,saint etienne,reims,5,8,12,12,20,17,5,5,2,4,5,3,17,8,17,10,0,-2,france,0,4,3.33,0.5,2,0,A,D,1,1
1244,nice,lille,6,4,14,14,23,26,7,2,5,8,2,4,12,21,14,12,-2,9,france,0,-4,3.16,1.66,2,0,H,W,2,1
1254,saint etienne,angers,5,15,12,12,20,12,5,5,2,3,3,6,15,14,15,17,0,-3,france,0,0,1.66,0.66,4,3,A,W,1,0
1265,angers,montpellier,15,3,12,12,12,25,3,3,6,7,4,1,16,20,19,7,-3,13,france,0,4,2.33,1.0,1,0,A,L,1,2
1281,toulouse,amiens,14,18,12,12,14,10,3,5,4,3,1,8,11,12,20,21,-9,-9,france,0,0,0.5,0.5,0,1,A,D,0,0
1287,nice,amiens,9,18,12,12,17,10,5,2,5,3,1,8,9,12,14,21,-5,-9,france,0,0,2.0,1.0,1,0,H,W,1,0
1288,brest,red star,2,19,13,13,27,9,8,3,2,2,3,8,26,10,14,22,12,-12,france,0,0,1.6,0.6,1,1,H,D,1,1
1301,nantes,angers,10,13,13,13,16,15,4,4,5,4,3,6,20,17,18,19,2,-2,france,0,6,2.16,0.5,1,1,A,W,2,0
1315,auxerre,niort,17,5,13,13,13,23,4,1,8,7,2,4,11,17,16,13,-5,4,france,5,0,3.16,1.66,0,0,H,W,5,0
1325,saint etienne,nantes,6,10,14,14,23,17,6,5,3,4,5,5,19,21,18,19,1,2,france,3,0,2.0,1.0,3,0,A,W,3,0
1329,dijon,bordeaux,18,12,14,14,12,17,3,3,8,4,5,5,12,14,23,15,-11,-1,france,0,0,2.83,0.83,0,0,H,D,0,0
1330,reims,guingamp,7,20,14,14,20,7,5,5,4,1,4,9,9,9,12,29,-3,-20,france,0,4,2.5,1.16,2,1,H,L,0,1
1340,valenciennes,lens,18,4,13,13,12,26,3,3,7,8,2,3,17,20,26,7,-9,13,france,0,0,1.66,0.83,4,2,A,D,1,1
1349,strasbourg,toulouse,6,13,12,12,17,14,4,5,3,3,5,4,20,11,16,20,4,-9,france,0,4,3.0,1.0,1,1,H,D,1,1
1390,lorient,paris fc,4,8,13,13,25,21,7,4,2,5,6,2,19,11,9,8,10,3,france,0,0,2.0,0.5,2,1,H,W,2,0
