,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
2188,sv sandhausen,greuther furth,16,10,17,17,12,23,2,6,9,6,5,6,18,21,27,31,-9,-10,germany,0,0,2.5,0.83,0,0,A,L,1,3,-3,-4,1,0
2198,vfl bochum,fc st pauli,7,6,15,15,24,25,6,6,3,7,4,4,24,21,16,20,8,1,germany,0,4,2.33,1.0,1,3,A,L,1,2,3,-4,7,-2
2221,vfb stuttgart,schalke 04,16,14,16,16,14,15,4,2,10,4,3,9,11,17,32,23,-21,-6,germany,0,5,3.0,1.66,1,3,H,L,0,2,-6,9,-15,-2
2231,union berlin,vfl bochum,3,7,16,16,28,24,6,10,0,6,6,4,25,25,12,19,13,6,germany,0,0,2.66,1.0,2,0,H,W,3,1,0,-7,7,2
2236,fortuna dusseldorf,sc freiburg,18,12,14,14,9,17,2,3,9,4,5,5,14,19,32,22,-18,-3,germany,0,0,1.75,1.25,2,0,A,W,2,1,-5,10,-15,2
2273,msv duisburg,dynamo dresden,16,11,17,17,13,22,3,4,10,6,4,7,15,20,30,26,-15,-6,germany,0,0,1.0,0.33,1,3,A,L,0,1,-5,4,-9,-2
2274,holstein kiel,hamburger sv,6,1,17,17,27,37,7,6,4,11,4,2,31,24,24,16,7,8,germany,3,0,5.33,1.33,3,1,A,W,3,0,7,8,-1,2
2275,erzgebirge aue,union berlin,12,4,17,17,19,31,5,4,8,7,10,0,22,27,23,12,-1,15,germany,0,0,2.0,0.5,3,0,A,L,0,1,-5,11,-16,3
2309,bayern munchen,borussia monchengladbach,2,12,10,10,23,1,7,2,1,0,1,9,29,6,13,51,16,-45,germany,3,0,2.83,1.66,9,0,H,L,0,3,23,-38,61,9
2351,sc paderborn,dynamo dresden,9,11,16,16,22,22,5,7,4,6,4,6,33,20,28,23,5,-3,germany,0,0,3.5,1.83,3,0,H,W,2,1,13,5,8,3
