,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
4697,dynamo dresden,sv darmstadt 98,11,5,5,5,6,10,2,0,3,3,1,1,5,6,6,3,-1,3,germany,0,0,4.0,2.0,4,1,H,L,0,2,-1,3,-4,3
4708,fc ingolstadt 04,fc st pauli,13,11,5,5,5,6,1,2,2,2,0,3,6,9,12,13,-6,-4,germany,0,0,2.16,1.33,0,1,H,L,0,1,-3,-1,-2,-1
4729,spvgg unterhaching,fc wurzburger kickers,2,9,6,6,14,9,4,2,0,3,0,3,12,13,5,9,7,4,germany,0,0,3.5,1.0,0,1,H,W,3,2,-1,-4,3,-1
4737,viktoria koln 1904,sv rodinghausen,2,8,7,7,14,10,4,2,1,2,4,1,13,8,7,7,6,1,germany,0,0,3.16,1.33,2,0,H,W,1,0,5,0,5,2
4745,ssv jahn regensburg,dynamo dresden,13,14,4,3,4,3,1,1,2,1,0,2,5,3,8,5,-3,-2,germany,0,5,2.5,0.83,0,2,H,L,0,1,2,3,-1,-2
4762,sg sonnenhof groaspach,vfr aalen,14,17,5,5,6,4,1,3,1,1,1,3,5,5,4,9,1,-4,germany,3,0,2.33,1.33,1,1,H,L,1,4,0,-5,5,0
4766,bayern munchen am,viktoria aschaffenburg,1,9,7,8,21,11,7,0,0,3,2,3,18,12,3,12,15,0,germany,0,4,3.83,1.5,2,2,A,D,1,1,6,-9,15,0
4769,fortuna koln,fc carl zeiss jena,14,6,5,5,6,10,2,0,3,3,1,1,5,8,7,8,-2,0,germany,0,0,1.5,0.0,2,0,A,L,0,1,-3,-1,-2,2
4775,arminia bielefeld,ssv jahn regensburg,13,12,3,3,4,4,1,1,1,1,1,1,3,2,5,3,-2,-1,germany,0,0,3.16,1.83,5,3,A,L,2,3,1,2,-1,2
4776,msv duisburg,greuther furth,18,8,3,3,0,5,0,0,3,1,2,0,0,6,6,4,-6,2,germany,0,0,2.83,0.66,0,1,A,D,2,2,-6,2,-8,-1
