,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff
4234,celta,atletico madrid,7,8,2,2,4,4,1,1,0,1,1,0,3,2,2,1,1,1,spain,3,5,3.33,1.0,2,0,A,L,0,3,1,1,0
4236,real betis,leganes,9,20,6,6,9,4,2,3,1,1,1,4,4,6,5,11,-1,-5,spain,0,4,3.5,1.5,1,0,A,L,2,3,-2,-6,4
4237,girona,real betis,12,8,6,6,8,9,2,2,2,2,3,1,7,4,9,5,-2,-1,spain,0,5,2.33,0.83,0,1,H,L,0,1,3,4,-1
4240,fc barcelona,girona,2,11,4,4,12,7,4,0,0,2,1,1,14,5,3,6,11,-1,spain,5,0,5.0,3.0,2,2,A,L,1,6,9,-3,12
4244,deportivo la coruna,granada,10,4,5,5,8,11,2,2,1,3,2,0,5,9,4,2,1,7,spain,0,-4,2.0,1.0,2,1,H,D,0,0,-4,2,-6
4247,villarreal,valencia,15,17,4,4,4,3,1,1,2,0,3,1,2,3,3,5,-1,-2,spain,0,5,1.83,1.0,0,0,H,W,1,0,-1,-2,1
4250,valencia,real betis,17,14,3,3,2,4,0,2,1,1,1,1,3,1,5,3,-2,-2,spain,0,0,2.83,0.66,0,0,H,W,2,0,2,2,0
4254,eibar,sevilla,13,6,6,6,7,10,2,1,3,3,1,2,5,13,7,6,-2,7,spain,4,0,2.66,1.33,1,3,H,W,5,1,-8,1,-9
4255,valencia,celta,15,7,6,6,5,9,0,5,1,2,3,1,4,11,6,9,-2,2,spain,0,0,3.33,1.16,1,1,H,D,1,1,-7,-3,-4
4256,athletic bilbao,villarreal,14,7,5,6,6,8,1,3,1,2,2,2,7,5,9,3,-2,2,spain,3,0,2.33,0.66,0,3,H,L,0,3,2,6,-4
4262,rayo vallecano,espanyol,17,5,6,7,5,11,1,2,3,3,2,2,7,8,14,6,-7,2,spain,0,-6,2.66,0.0,2,2,H,D,1,1,-1,8,-9
4264,valladolid,levante,14,17,6,6,6,4,1,3,2,1,1,4,5,9,6,13,-1,-4,spain,0,0,3.16,1.5,2,1,H,W,2,1,-4,-7,3
4267,levante,sevilla,13,14,4,4,4,4,1,1,2,1,1,2,6,4,5,4,1,0,spain,0,0,2.33,1.16,2,6,H,W,2,1,2,1,1
4273,villarreal,valladolid,11,8,7,7,8,9,2,2,3,2,3,2,5,6,4,6,1,0,spain,0,0,1.83,0.83,0,1,H,L,0,1,-1,-2,1
4287,real betis,sevilla,18,4,2,2,1,4,0,1,1,1,1,0,0,4,3,1,-3,3,spain,0,4,3.66,1.33,1,0,A,D,2,2,-4,2,-6
4293,real betis,athletic bilbao,12,11,4,3,5,5,1,2,1,1,2,0,1,5,3,4,-2,1,spain,0,5,2.66,1.0,2,2,A,L,0,2,-4,-1,-3
4321,huesca,rayo vallecano,14,20,3,2,4,0,1,1,1,0,0,2,6,1,11,5,-5,-4,spain,3,0,3.5,1.66,0,1,H,L,0,3,5,6,-1
4325,levante,valencia,12,16,2,2,3,1,1,0,1,0,1,1,4,1,2,3,2,-2,spain,0,0,2.66,1.0,2,2,A,L,1,3,3,-1,4
4334,albacete,zaragoza,1,10,7,7,15,8,4,3,0,2,2,3,13,9,6,8,7,1,spain,3,4,3.0,1.83,2,2,A,L,1,4,4,-2,6
4349,espanyol,levante,9,7,3,3,4,4,1,1,1,1,1,1,4,6,3,4,1,2,spain,0,0,2.16,1.33,1,0,H,D,1,1,-2,-1,-1
4363,real sociedad,valencia,10,16,6,6,8,5,2,2,2,0,5,1,9,4,9,6,0,-2,spain,0,4,3.5,1.33,0,1,A,L,1,2,5,3,2
4435,espanyol,eibar,8,11,5,5,7,7,2,1,2,2,1,2,5,5,4,6,1,-1,spain,0,0,3.66,1.83,1,0,H,L,0,1,0,-2,2
4625,cadiz,real oviedo,5,4,3,3,5,5,1,2,0,1,2,0,2,5,1,3,1,2,spain,0,4,2.0,0.66,1,1,A,L,1,2,-3,-2,-1
4648,tenerife,cadiz,13,17,7,7,7,6,1,4,2,1,3,3,6,4,7,7,-1,-3,spain,0,0,1.66,0.5,1,0,H,L,1,2,2,0,2
4683,mallorca,albacete,4,5,5,5,10,9,3,1,1,2,3,0,4,8,2,4,2,4,spain,0,0,2.33,0.83,1,3,A,L,0,1,-4,-2,-2
