,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff
1230,real sociedad,sevilla,12,4,10,10,12,19,3,3,4,6,1,3,12,22,13,13,-1,9,spain,0,0,2.66,1.16,0,0,A,L,0,1,-10,0,-10
1233,espanyol,girona,5,11,12,12,21,17,6,3,3,4,5,3,16,13,10,14,6,-1,spain,0,0,2.0,1.0,1,3,A,W,2,0,3,-4,7
1243,villarreal,real betis,17,14,12,12,11,16,2,5,5,4,4,4,11,12,13,15,-2,-3,spain,0,0,2.0,0.83,2,1,A,L,1,2,-1,-2,1
1249,girona,leganes,11,18,11,11,16,9,4,4,3,2,3,6,13,9,14,16,-1,-7,spain,3,0,2.5,0.83,0,0,H,W,3,0,4,-2,6
1252,levante,real sociedad,7,13,11,11,17,13,5,2,4,3,4,4,17,12,16,13,1,-1,spain,3,0,2.83,1.33,1,3,A,L,0,3,5,3,2
1255,villarreal,levante,17,7,10,10,9,16,2,3,5,5,1,4,8,16,10,15,-2,1,spain,0,4,2.33,0.83,1,1,H,W,2,1,-8,-5,-3
1262,huesca,levante,20,8,12,12,6,17,1,3,8,5,2,5,10,18,25,19,-15,-1,spain,0,0,2.5,0.33,2,2,A,W,2,1,-8,6,-14
1273,real sociedad,celta,13,15,12,12,16,14,4,4,4,3,5,4,15,22,14,20,1,2,spain,0,0,2.66,0.83,2,1,A,D,1,1,-7,-6,-1
1285,real betis,celta,13,11,10,10,12,13,3,3,4,3,4,3,5,17,9,13,-4,4,spain,0,0,3.16,1.16,3,3,A,L,2,3,-12,-4,-8
1295,huesca,getafe,20,10,10,10,5,15,1,2,7,4,3,3,8,10,22,8,-14,2,spain,3,0,2.25,0.25,1,1,A,L,0,3,-2,14,-16
1335,granada,sporting gijon,3,14,14,14,28,15,8,4,2,3,6,5,22,13,10,13,12,0,spain,0,0,3.0,0.66,1,2,A,L,1,2,9,-3,12
1356,rayo vallecano,eibar,19,10,13,13,7,18,1,4,8,5,3,5,14,15,28,18,-14,-3,spain,0,0,3.2,1.6,1,0,H,D,1,1,-1,10,-11
1369,atletico madrid,rayo vallecano,2,8,9,9,24,13,8,0,1,4,1,4,32,12,7,16,25,-4,spain,0,5,2.16,0.83,3,1,H,W,1,0,20,-9,29
1371,las palmas,granada,5,1,14,14,22,28,5,7,2,8,4,2,17,20,10,8,7,12,spain,0,0,4.33,1.66,2,2,A,L,0,1,-3,2,-5
1420,deportivo la coruna,real oviedo,2,12,13,13,26,16,7,5,1,4,4,5,23,14,9,20,14,-6,spain,4,0,3.5,1.5,4,0,H,W,4,0,9,-11,20
1465,cadiz,reus deportiu,12,16,12,12,14,13,3,5,4,3,4,5,13,9,12,13,1,-4,spain,0,0,0.75,0.25,2,0,A,L,0,1,4,-1,5
1487,zaragoza,cadiz,18,7,15,15,15,23,3,6,6,6,5,4,17,22,20,14,-3,8,spain,0,5,2.16,0.83,0,1,H,L,0,1,-5,6,-11
1503,alcorcon,zaragoza,2,16,14,14,30,15,9,3,2,3,6,5,17,17,6,18,11,-1,spain,0,0,2.0,1.33,2,0,H,D,1,1,0,-12,12
1608,real oviedo,reus deportiu,10,20,15,15,22,13,6,4,5,3,4,8,19,10,21,22,-2,-12,spain,0,0,1.5,0.5,3,0,A,D,0,0,9,-1,10
1609,elche,albacete,18,5,15,15,15,27,3,6,6,7,6,2,12,21,20,12,-8,9,spain,0,0,2.16,0.66,0,1,H,D,1,1,-9,8,-17
