,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
431,4,0,11,14,0,0,0,0,0,0,1,4,4
432,1,1,14,1,2,8,4,1,-2,7,4,1,0
433,0,2,8,7,2,4,0,0,2,4,1,2,-2
434,1,2,20,3,0,2,4,0,-4,2,1,1,-1
435,2,1,9,12,2,0,2,0,0,0,1,1,1
436,3,1,17,19,2,1,5,6,-3,-5,1,4,2
437,1,0,2,11,6,3,0,4,6,-1,0,4,1
438,0,0,19,4,2,3,3,1,-1,2,1,2,0
439,2,0,17,13,0,0,0,0,0,0,0,1,2
440,0,0,20,16,1,0,9,2,-8,-2,3,0,0
441,2,0,2,13,7,2,2,5,5,-3,3,0,2
442,1,2,13,8,1,3,2,2,-1,1,0,0,-1
443,2,0,9,23,6,3,7,6,-1,-3,2,0,2
444,1,3,17,16,0,0,0,0,0,0,0,0,-2
445,2,3,21,16,4,5,10,7,-6,-2,2,3,-1
446,0,3,24,11,2,6,13,5,-11,1,0,3,-3
447,0,0,1,2,14,9,4,2,10,7,0,3,0
448,3,0,12,19,2,1,2,2,0,-1,1,2,3
449,1,0,2,7,8,13,2,7,6,6,1,1,1
450,1,0,6,18,5,2,3,3,2,-1,1,0,1
451,2,0,21,14,6,3,8,3,-2,0,0,0,2
452,2,1,16,15,5,4,6,5,-1,-1,1,2,1
453,1,1,20,4,2,6,3,3,-1,3,4,0,0
454,0,2,14,1,3,6,3,2,0,4,1,2,-2
455,0,4,18,20,2,2,3,3,-1,-1,4,1,-4
456,2,2,3,13,0,0,0,0,0,0,2,0,0
457,0,3,15,2,8,11,8,4,0,7,1,2,-3
458,2,0,11,18,6,3,7,5,-1,-2,1,0,2
459,2,0,11,20,6,3,2,4,4,-1,0,2,2
460,2,1,15,11,2,3,2,5,0,-2,0,0,1
461,0,1,24,7,1,4,3,3,-2,1,1,1,-1
462,1,2,20,24,0,1,1,5,-1,-4,1,2,-1
463,1,1,7,14,0,0,0,0,0,0,0,0,0
464,0,1,7,13,5,6,3,5,2,1,0,2,-1
465,1,0,9,5,5,10,4,4,1,6,3,1,1
466,1,0,24,8,2,10,13,7,-11,3,1,2,1
467,1,3,12,5,2,8,3,4,-1,4,3,1,-2
468,2,2,10,20,5,2,4,4,1,-2,1,2,0
469,2,1,17,21,5,3,7,6,-2,-3,2,1,1
470,0,1,11,1,4,9,4,3,0,6,1,4,-1
471,6,0,3,16,9,6,1,7,8,-1,6,0,6
472,2,1,2,17,8,3,3,4,5,-1,2,1,1
473,0,0,17,3,5,14,11,4,-6,10,1,1,0
474,0,2,19,14,3,4,7,7,-4,-3,1,0,-2
475,2,0,9,12,10,8,9,9,1,-1,5,1,2
476,1,2,13,5,8,12,11,7,-3,5,1,1,-1
477,1,2,7,1,5,7,3,0,2,7,1,2,-1
478,2,0,2,13,19,8,3,11,16,-3,3,1,2
479,2,0,3,6,8,6,3,3,5,3,3,0,2
480,2,1,5,16,9,2,2,4,7,-2,3,1,1
481,3,1,17,7,5,9,11,9,-6,0,0,0,2
482,2,1,5,4,7,8,2,2,5,6,0,2,1
483,0,2,20,5,3,12,14,7,-11,5,0,2,-2
484,1,2,3,10,9,6,3,7,6,-1,0,1,-1
485,1,2,18,9,3,8,6,8,-3,0,1,2,-1
486,1,0,12,19,4,3,5,9,-1,-6,1,1,1
487,1,2,5,1,9,9,4,1,5,8,2,2,-1
488,3,0,4,13,11,7,3,9,8,-2,5,0,3
489,1,1,8,19,6,1,5,9,1,-8,0,2,0
490,3,0,12,15,8,8,11,13,-3,-5,3,1,3
491,3,1,11,18,8,2,9,11,-1,-9,3,0,2
492,1,1,15,4,7,10,12,5,-5,5,0,1,0
493,4,0,20,5,3,10,10,7,-7,3,1,2,4
494,1,2,19,12,4,9,16,11,-12,-2,1,2,-1
495,2,0,10,14,6,6,6,9,0,-3,2,0,2
