,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
238,3,1,18,11,19,21,26,25,-7,-4,2,2,2
239,5,5,9,7,31,25,25,16,6,9,1,0,0
240,1,0,4,23,35,14,24,29,11,-15,1,1,1
241,2,1,2,4,3,2,2,5,1,-3,2,0,1
242,4,1,7,2,33,28,24,13,9,15,3,2,3
243,3,1,6,9,22,19,16,14,6,5,3,0,2
244,2,3,24,16,15,20,30,21,-15,-1,0,1,-1
245,2,0,1,11,30,21,15,26,15,-5,1,0,2
246,0,2,23,7,16,25,26,16,-10,9,0,2,-2
247,1,1,9,4,20,34,19,23,1,11,1,0,0
248,3,2,7,17,20,23,21,24,-1,-1,1,4,1
249,2,0,2,4,5,0,1,10,4,-10,2,0,2
250,3,1,3,4,3,2,3,4,0,-2,2,3,2
251,1,2,3,1,5,8,8,1,-3,7,1,2,-1
252,0,4,16,4,21,20,26,17,-5,3,5,1,-4
253,3,0,12,9,28,21,21,23,7,-2,3,0,3
254,4,2,19,17,25,27,31,38,-6,-11,4,2,2
255,4,2,2,3,35,32,16,15,19,17,0,1,2
256,0,3,18,17,23,17,19,23,4,-6,1,1,-3
257,3,1,3,14,28,24,31,25,-3,-1,0,1,2
258,0,1,10,3,28,32,19,19,9,13,1,2,-1
259,1,1,1,3,32,26,15,13,17,13,1,1,0
260,0,0,6,15,23,19,16,20,7,-1,3,2,0
261,3,2,11,12,16,26,21,21,-5,5,1,2,1
262,0,2,10,8,19,24,22,20,-3,4,1,3,-2
263,0,0,15,3,19,17,20,8,-1,9,2,0,0
264,1,0,7,1,22,27,16,18,6,9,0,0,1
265,1,0,5,17,34,10,20,26,14,-16,1,0,1
266,2,6,11,3,24,31,22,16,2,15,0,4,-4
267,1,2,10,1,17,43,19,6,-2,37,1,3,-1
268,1,0,3,17,30,15,16,32,14,-17,3,0,1
269,3,1,2,7,45,23,9,19,36,4,3,1,2
270,2,0,4,1,31,45,13,7,18,38,0,2,2
271,2,1,9,2,22,50,21,13,1,37,2,4,1
272,1,3,19,2,13,27,29,5,-16,22,1,2,-2
273,5,0,3,8,37,27,18,28,19,-1,4,1,5
274,1,5,16,6,17,29,33,29,-16,0,0,2,-4
275,3,1,5,18,25,12,15,26,10,-14,1,1,2
276,2,2,8,4,22,32,23,18,-1,14,2,1,0
277,1,3,2,11,42,20,18,22,24,-2,3,2,-2
278,3,1,6,19,34,11,30,31,4,-20,2,0,2
279,1,2,13,4,19,33,22,13,-3,20,0,4,-1
280,4,1,6,12,37,27,31,33,6,-6,2,1,3
281,4,0,1,15,39,14,7,22,32,-8,2,0,4
282,0,1,4,12,35,21,14,21,21,0,2,1,-1
283,3,2,19,5,13,35,30,20,-17,15,2,3,1
284,2,1,13,3,13,30,17,11,-4,19,0,2,1
285,1,2,7,4,25,35,25,15,0,20,4,1,-1
286,0,1,7,17,24,18,22,38,2,-20,1,0,-1
287,1,2,16,12,19,25,33,27,-14,-2,0,3,-1
288,1,1,13,5,20,40,26,24,-6,16,2,1,0
289,1,0,19,20,17,12,43,34,-26,-22,0,1,1
290,0,0,14,17,17,18,25,38,-8,-20,3,0,0
291,1,5,18,11,16,26,36,28,-20,-2,2,1,-4
292,2,2,7,13,21,18,17,21,4,-3,0,1,0
293,1,3,17,3,20,51,35,15,-15,36,1,6,-2
294,2,0,10,8,17,25,19,26,-2,-1,1,2,2
295,1,1,7,14,20,11,16,19,4,-8,1,0,0
296,3,1,11,14,16,10,20,17,-4,-7,2,3,2
297,2,0,19,11,17,27,41,28,-24,-1,2,4,2
298,1,1,20,10,16,19,42,21,-26,-2,2,0,0
299,0,2,10,1,19,39,21,7,-2,32,0,2,-2
300,2,0,15,18,9,13,17,28,-8,-15,1,0,2
301,0,2,1,15,42,28,22,33,20,-5,1,0,-2
302,1,1,20,9,14,20,35,17,-21,3,3,4,0
303,0,1,15,4,17,37,25,16,-8,21,1,3,-1
304,1,0,16,9,13,21,23,20,-10,1,5,0,1
305,1,2,15,13,12,15,20,18,-8,-3,1,0,-1
306,1,0,16,18,14,13,30,29,-16,-16,1,0,1
307,1,0,19,10,14,19,32,21,-18,-2,0,0,1
308,1,1,10,15,26,14,27,26,-1,-12,0,1,0
309,0,1,18,15,10,13,27,22,-17,-9,0,1,-1
310,1,1,3,16,52,30,31,40,21,-10,2,2,0
311,3,3,2,7,41,32,26,23,15,9,2,1,0
312,2,0,11,13,25,20,28,24,-3,-4,2,2,2
313,3,2,1,14,39,29,20,34,19,-5,1,2,1
314,0,2,9,10,25,23,25,25,0,-2,2,0,-2
315,3,2,13,15,20,11,23,20,-3,-9,1,1,1
316,0,0,8,23,31,27,32,37,-1,-10,1,0,0
317,2,2,3,8,42,39,28,30,14,9,0,0,0
318,1,2,17,12,9,15,23,20,-14,-5,1,1,-1
319,2,0,3,19,50,23,31,33,19,-10,0,1,2
320,0,0,5,7,31,32,24,22,7,10,0,0,0
321,3,4,2,6,44,33,29,28,15,5,1,1,-1
322,2,0,5,24,25,19,17,41,8,-22,2,0,2
323,2,2,13,19,29,23,28,35,1,-12,0,0,0
324,3,0,10,24,28,19,32,38,-4,-19,2,0,3
325,0,1,12,11,29,45,27,37,2,8,0,1,-1
